split_seed,clause_category,model,threshold,missing_precision,missing_recall,missing_f1,missing_auroc,balanced_accuracy,n_test,n_missing_test,n_present_test,val_missing_f1_at_selected_threshold
42,Ip Ownership Assignment,TextPlusLayout,0.32999999999999996,0.8878504672897196,0.9595959595959596,0.9223300970873787,0.8526645768025078,0.7729014280738418,128,99,29,0.8288288288288288
42,Irrevocable Or Perpetual License,FrequencyPrior,0.05,0.84375,1.0,0.9152542372881356,0.5,0.5,128,108,20,
42,Irrevocable Or Perpetual License,TextOnly,0.49999999999999994,0.9009009009009009,0.9259259259259259,0.91324200913242,0.8657407407407407,0.687962962962963,128,108,20,0.912
42,Irrevocable Or Perpetual License,TextPlusLayout,0.13999999999999999,0.8991596638655462,0.9907407407407407,0.9427312775330396,0.8847222222222222,0.6953703703703704,128,108,20,0.9242424242424242
42,Joint Ip Ownership,FrequencyPrior,0.05,0.953125,1.0,0.976,0.5,0.5,128,122,6,
42,Joint Ip Ownership,TextOnly,0.5099999999999999,0.9583333333333334,0.9426229508196722,0.9504132231404959,0.8579234972677596,0.5546448087431695,128,122,6,0.9302325581395349
42,Joint Ip Ownership,TextPlusLayout,0.27999999999999997,0.9596774193548387,0.9754098360655737,0.967479674796748,0.7622950819672131,0.5710382513661202,128,122,6,0.9323308270676691
42,License Grant,FrequencyPrior,0.05,0.5,1.0,0.6666666666666666,0.5,0.5,128,64,64,
42,License Grant,TextOnly,0.43999999999999995,0.7733333333333333,0.90625,0.8345323741007195,0.917724609375,0.8203125,128,64,64,0.9295774647887324
42,License Grant,TextPlusLayout,0.38999999999999996,0.7564102564102564,0.921875,0.8309859154929577,0.9033203125,0.8125,128,64,64,0.8857142857142857
42,Liquidated Damages,FrequencyPrior,0.05,0.859375,1.0,0.9243697478991597,0.5,0.5,128,110,18,
42,Liquidated Damages,TextOnly,0.4099999999999999,0.8790322580645161,0.990909090909091,0.9316239316239316,0.6661616161616162,0.5787878787878789,128,110,18,0.9370629370629371
42,Liquidated Damages,TextPlusLayout,0.16999999999999998,0.88,1.0,0.9361702127659575,0.7974747474747474,0.5833333333333334,128,110,18,0.9370629370629371
42,Minimum Commitment,FrequencyPrior,0.05,0.71875,1.0,0.8363636363636363,0.5,0.5,128,92,36,
42,Minimum Commitment,TextOnly,0.49999999999999994,0.813953488372093,0.7608695652173914,0.7865168539325843,0.7533212560386473,0.6582125603864735,128,92,36,0.8387096774193549
42,Minimum Commitment,TextPlusLayout,0.58,0.9344262295081968,0.6195652173913043,0.7450980392156863,0.793780193236715,0.7542270531400965,128,92,36,0.8372093023255814
42,Most Favored Nation,FrequencyPrior,0.05,0.9375,1.0,0.967741935483871,0.5,0.5,128,120,8,
42,Most Favored Nation,TextOnly,0.31999999999999995,0.9375,1.0,0.967741935483871,0.8229166666666667,0.5,128,120,8,0.9798657718120806
42,Most Favored Nation,TextPlusLayout,0.05,0.9375,1.0,0.967741935483871,0.83125,0.5,128,120,8,0.9733333333333334
42,No-Solicit Of Customers,FrequencyPrior,0.05,0.9296875,1.0,0.9635627530364372,0.5,0.5,128,119,9,
42,No-Solicit Of Customers,TextOnly,0.3499999999999999,0.9444444444444444,1.0,0.9714285714285714,0.7973856209150327,0.6111111111111112,128,119,9,0.9798657718120806
42,No-Solicit Of Customers,TextPlusLayout,0.05,0.9296875,1.0,0.9635627530364372,0.6685340802987862,0.5,128,119,9,0.9733333333333334
42,No-Solicit Of Employees,FrequencyPrior,0.05,0.84375,1.0,0.9152542372881356,0.5,0.5,128,108,20,
42,No-Solicit Of Employees,TextOnly,0.31999999999999995,0.8629032258064516,0.9907407407407407,0.9224137931034483,0.7597222222222222,0.5703703703703703,128,108,20,0.971830985915493
42,No-Solicit Of Employees,TextPlusLayout,0.24999999999999994,0.8709677419354839,1.0,0.9310344827586207,0.7958333333333334,0.6,128,108,20,0.9645390070921985
42,Non-Compete,FrequencyPrior,0.05,0.78125,1.0,0.8771929824561403,0.5,0.5,128,100,28,
42,Non-Compete,TextOnly,0.36999999999999994,0.7933884297520661,0.96,0.8687782805429864,0.7842857142857145,0.5335714285714286,128,100,28,0.896
42,Non-Compete,TextPlusLayout,0.30999999999999994,0.8151260504201681,0.97,0.8858447488584474,0.8014285714285714,0.5921428571428571,128,100,28,0.9090909090909091
42,Non-Disparagement,FrequencyPrior,0.05,0.921875,1.0,0.959349593495935,0.5,0.5,128,118,10,
42,Non-Disparagement,TextOnly,0.35999999999999993,0.9285714285714286,0.9915254237288136,0.9590163934426229,0.7169491525423729,0.5457627118644068,128,118,10,0.9722222222222222
42,Non-Disparagement,TextPlusLayout,0.09,0.921875,1.0,0.959349593495935,0.7389830508474576,0.5,128,118,10,0.9659863945578231
42,Non-Transferable License,FrequencyPrior,0.05,0.71875,1.0,0.8363636363636363,0.5,0.5,128,92,36,
