split_seed,contract_id,model,k,precision_at_k,recall_at_k,n_missing_eligible_categories
42,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",TextOnly,5,1.0,0.15625,32
42,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",TextOnly,10,1.0,0.3125,32
42,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,TextOnly,3,1.0,0.14285714285714285,21
42,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,TextOnly,5,1.0,0.23809523809523808,21
42,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,TextOnly,10,0.7,0.3333333333333333,21
42,STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,TextOnly,3,1.0,0.125,24
42,STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,TextOnly,5,1.0,0.20833333333333334,24
42,STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT,TextOnly,10,1.0,0.4166666666666667,24
42,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,TextOnly,3,1.0,0.125,24
42,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,TextOnly,5,1.0,0.20833333333333334,24
42,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,TextOnly,10,0.9,0.375,24
42,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,TextOnly,3,1.0,0.1875,16
42,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,TextOnly,5,0.8,0.25,16
42,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement,TextOnly,10,0.7,0.4375,16
42,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",TextOnly,3,1.0,0.08333333333333333,36
42,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",TextOnly,5,1.0,0.1388888888888889,36
42,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",TextOnly,10,1.0,0.2777777777777778,36
42,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,TextOnly,3,1.0,0.14285714285714285,21
42,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,TextOnly,5,1.0,0.23809523809523808,21
42,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,TextOnly,10,0.8,0.38095238095238093,21
42,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,TextOnly,3,0.6666666666666666,0.08,25
42,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,TextOnly,5,0.6,0.12,25
42,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement,TextOnly,10,0.8,0.32,25
42,"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",TextOnly,3,1.0,0.10344827586206896,29
42,"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",TextOnly,5,1.0,0.1724137931034483,29
42,"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",TextOnly,10,1.0,0.3448275862068966,29
42,"Reinsurance Group of America, Incorporated - A_R REMARKETING AGREEMENT",TextOnly,3,1.0,0.1,30
42,"Reinsurance Group of America, Incorporated - A_R REMARKETING AGREEMENT",TextOnly,5,1.0,0.16666666666666666,30
42,"Reinsurance Group of America, Incorporated - A_R REMARKETING AGREEMENT",TextOnly,10,1.0,0.3333333333333333,30
42,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,TextOnly,3,0.6666666666666666,0.09523809523809523,21
42,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,TextOnly,5,0.8,0.19047619047619047,21
42,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,TextOnly,10,0.8,0.38095238095238093,21
42,Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement,TextOnly,3,1.0,0.09375,32
42,Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement,TextOnly,5,1.0,0.15625,32
42,Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement,TextOnly,10,1.0,0.3125,32
42,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,TextOnly,3,1.0,0.08108108108108109,37
42,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,TextOnly,5,1.0,0.13513513513513514,37
42,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,TextOnly,10,1.0,0.2702702702702703,37
42,IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,TextOnly,3,1.0,0.09375,32
42,IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,TextOnly,5,1.0,0.15625,32
42,IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,TextOnly,10,1.0,0.3125,32
42,PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,TextOnly,3,1.0,0.08333333333333333,36
42,PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,TextOnly,5,1.0,0.1388888888888889,36
42,PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP AGREEMENT,TextOnly,10,1.0,0.2777777777777778,36
42,QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,TextOnly,3,0.6666666666666666,0.08,25
42,QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,TextOnly,5,0.8,0.16,25
42,QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement,TextOnly,10,0.9,0.36,25
42,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,TextOnly,3,1.0,0.11538461538461539,26
42,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,TextOnly,5,1.0,0.19230769230769232,26
42,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,TextOnly,10,1.0,0.38461538461538464,26
42,"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT",TextOnly,3,1.0,0.10714285714285714,28
42,"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT",TextOnly,5,1.0,0.17857142857142858,28
42,"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT",TextOnly,10,1.0,0.35714285714285715,28
42,"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",TextOnly,3,1.0,0.14285714285714285,21
42,"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",TextOnly,5,1.0,0.23809523809523808,21
42,"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",TextOnly,10,0.9,0.42857142857142855,21
42,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,TextOnly,3,1.0,0.10714285714285714,28
42,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,TextOnly,5,1.0,0.17857142857142858,28
42,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,TextOnly,10,1.0,0.35714285714285715,28
42,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT",TextOnly,3,1.0,0.08108108108108109,37
42,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT",TextOnly,5,1.0,0.13513513513513514,37
42,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT",TextOnly,10,1.0,0.2702702702702703,37
42,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",TextOnly,3,1.0,0.09090909090909091,33
42,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",TextOnly,5,1.0,0.15151515151515152,33
42,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",TextOnly,10,1.0,0.30303030303030304,33
42,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,TextOnly,3,1.0,0.09375,32
42,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,TextOnly,5,1.0,0.15625,32
42,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,TextOnly,10,1.0,0.3125,32
42,"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT",TextOnly,3,1.0,0.1,30
42,"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT",TextOnly,5,1.0,0.16666666666666666,30
42,"TRANSPHORM,INC_02_14_2020-EX-10.12(1)-JOINT VENTURE AGREEMENT",TextOnly,10,1.0,0.3333333333333333,30
42,PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,TextOnly,3,1.0,0.1111111111111111,27
42,PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,TextOnly,5,1.0,0.18518518518518517,27
42,PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT,TextOnly,10,1.0,0.37037037037037035,27
42,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,TextOnly,3,1.0,0.1,30
42,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,TextOnly,5,1.0,0.16666666666666666,30
42,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,TextOnly,10,1.0,0.3333333333333333,30
42,MSCIINC_02_28_2008-EX-10.10-,TextOnly,3,1.0,0.08823529411764706,34
42,MSCIINC_02_28_2008-EX-10.10-,TextOnly,5,1.0,0.14705882352941177,34
42,MSCIINC_02_28_2008-EX-10.10-,TextOnly,10,1.0,0.29411764705882354,34
42,IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,TextOnly,3,0.6666666666666666,0.07692307692307693,26
42,IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,TextOnly,5,0.8,0.15384615384615385,26
42,IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,TextOnly,10,0.9,0.34615384615384615,26
42,"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",TextOnly,3,1.0,0.07894736842105263,38
42,"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",TextOnly,5,1.0,0.13157894736842105,38
42,"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT FILING STATEMENT",TextOnly,10,1.0,0.2631578947368421,38
42,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2,TextOnly,3,1.0,0.09375,32
42,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2,TextOnly,5,1.0,0.15625,32
42,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2,TextOnly,10,1.0,0.3125,32
42,BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,TextOnly,3,1.0,0.11538461538461539,26
42,BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,TextOnly,5,1.0,0.19230769230769232,26
42,BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,TextOnly,10,1.0,0.38461538461538464,26
42,NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,TextOnly,3,1.0,0.1,30
42,NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,TextOnly,5,1.0,0.16666666666666666,30
42,NATIONALPROCESSINGINC_07_18_1996-EX-10.4-SPONSORSHIP AGREEMENT,TextOnly,10,1.0,0.3333333333333333,30
42,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,TextOnly,3,1.0,0.1875,16
