clause_category,model,missing_f1,missing_recall,missing_auroc,balanced_accuracy
Most Favored Nation,TextOnly,0.9745854899372194,1.0,0.8219833176761329,0.5
Most Favored Nation,TextPlusLayout,0.9732363889865249,0.9973118279569894,0.8613664134008708,0.4986559139784947
No-Solicit Of Customers,FrequencyPrior,0.9579106728878398,1.0,0.5,0.5
No-Solicit Of Customers,TextOnly,0.9616346150731566,0.9943502824858758,0.7521011359281035,0.5842121782799748
No-Solicit Of Customers,TextPlusLayout,0.9579106728878398,1.0,0.7413726822633723,0.5
No-Solicit Of Employees,FrequencyPrior,0.9315753420012073,1.0,0.5,0.5
No-Solicit Of Employees,TextOnly,0.9364498977406742,0.9940645773979107,0.8231060606060606,0.555702322368989
No-Solicit Of Employees,TextPlusLayout,0.9352724845994255,0.9943019943019943,0.7822034447034447,0.5456358456358457
Non-Compete,FrequencyPrior,0.8836458963500705,1.0,0.5,0.5
Non-Compete,TextOnly,0.876738678564303,0.9156410256410256,0.8228891941391941,0.6363919413919414
Non-Compete,TextPlusLayout,0.8944418212107985,0.9179487179487179,0.8263308913308913,0.7040140415140415
Non-Disparagement,FrequencyPrior,0.9606172170363679,1.0,0.5,0.5
Non-Disparagement,TextOnly,0.9562612523927468,0.9862461794943039,0.7402462170785498,0.5375675341915964
Non-Disparagement,TextPlusLayout,0.9562276422764228,0.991304347826087,0.6581750071167422,0.4956521739130435
Non-Transferable License,FrequencyPrior,0.8618474601083297,1.0,0.5,0.5
Non-Transferable License,TextOnly,0.8478082511153388,0.8797653679729773,0.8038917070763691,0.6381181402864611
Non-Transferable License,TextPlusLayout,0.8778577033523374,0.9040071130798054,0.8330618349896152,0.7077130501526221
Notice Period To Terminate Renewal,FrequencyPrior,0.8883953745857595,1.0,0.5,0.5
Notice Period To Terminate Renewal,TextOnly,0.8844991266043897,0.9477348400766825,0.7553408457384881,0.5767128504699786
Notice Period To Terminate Renewal,TextPlusLayout,0.8699216295326749,0.9272282574169367,0.7546101976715471,0.5721865907292062
Parties,FrequencyPrior,0.192384434345407,1.0,0.5,0.5
Parties,TextOnly,0.33383177043732926,0.7327574386397916,0.7595077237020971,0.6787291968877648
Parties,TextPlusLayout,0.3773809523809524,0.42767036884683945,0.7008531683723499,0.6673103987681993
Post-Termination Services,FrequencyPrior,0.7935948706324133,1.0,0.5,0.5
Post-Termination Services,TextOnly,0.7902777777777779,0.9102564102564102,0.7438674763674764,0.5839078939078939
Post-Termination Services,TextPlusLayout,0.812092805804116,0.8232600732600733,0.8338066138066137,0.7301394551394552
Price Restrictions,FrequencyPrior,0.9867826526723292,1.0,0.5,0.5
Price Restrictions,TextOnly,0.9867826526723292,1.0,0.620200283907601,0.5
Price Restrictions,TextPlusLayout,0.9867826526723292,1.0,0.5362913924377338,0.5
Renewal Term,FrequencyPrior,0.8055583994331745,1.0,0.5,0.5
Renewal Term,TextOnly,0.8113538320421346,0.8882498030924845,0.805405179161164,0.6329768764447287
Renewal Term,TextPlusLayout,0.8042667741062663,0.8803610662023794,0.7839940653851393,0.6209391156039583
Revenue/Profit Sharing,FrequencyPrior,0.8238842148282811,1.0,0.5,0.5
Revenue/Profit Sharing,TextOnly,0.8468944456959776,0.9442363712026633,0.7920785590211965,0.6374353246026812
Revenue/Profit Sharing,TextPlusLayout,0.8386914959197109,0.8549313358302122,0.8609157581363377,0.7091795680500589
Rofr/Rofo/Rofn,FrequencyPrior,0.9165617292066647,1.0,0.5,0.5
Rofr/Rofo/Rofn,TextOnly,0.9072820091136465,0.9641522685770473,0.7068878807757528,0.5559891777667846
Rofr/Rofo/Rofn,TextPlusLayout,0.9065571266382625,0.9426636367336062,0.7607201633300816,0.6045961385876449
Termination For Convenience,FrequencyPrior,0.8111398219925352,1.0,0.5,0.5
Termination For Convenience,TextOnly,0.8058938351621278,0.9197579240682688,0.7148610261572835,0.570244815692671
Termination For Convenience,TextPlusLayout,0.820040697354672,0.9733542319749217,0.7097619646846939,0.5559860590768917
Third Party Beneficiary,FrequencyPrior,0.9745854899372194,1.0,0.5,0.5
Third Party Beneficiary,TextOnly,0.9745854899372194,1.0,0.6393678484679218,0.5
Third Party Beneficiary,TextPlusLayout,0.9704174967332863,0.991712580348944,0.711715209277526,0.495856290174472
Uncapped Liability,FrequencyPrior,0.9044044683894926,1.0,0.5,0.5
Uncapped Liability,TextOnly,0.8943824125092167,0.9372199970330811,0.8211567113639443,0.5980095844378656
Uncapped Liability,TextPlusLayout,0.8946140824764462,0.9025960539979231,0.8739330379314126,0.6849074127822604
Unlimited/All-You-Can-Eat-License,FrequencyPrior,0.9821033327009423,1.0,0.5,0.5
Unlimited/All-You-Can-Eat-License,TextOnly,0.9821033327009423,1.0,0.7799108313663782,0.5
Unlimited/All-You-Can-Eat-License,TextPlusLayout,0.9840634920634921,1.0,0.7699596774193549,0.55
Volume Restriction,FrequencyPrior,0.9043909759977259,1.0,0.5,0.5
Volume Restriction,TextOnly,0.9068273276019755,0.9558832838236824,0.7326988464546876,0.6191754081456075
Volume Restriction,TextPlusLayout,0.8933684672815106,0.9465996590842297,0.7482079517985882,0.5712435524858378
Warranty Duration,FrequencyPrior,0.9391982423486956,1.0,0.5,0.5
Warranty Duration,TextOnly,0.9381537194941326,0.9411749482401657,0.9319873251241084,0.7275853373679461
Warranty Duration,TextPlusLayout,0.9404970760233917,0.9792443064182196,0.868376109483266,0.5888742899612465
