split_seed,clause_category,model,precision,recall,f1,auroc
43,Exclusivity,TextPlusLayout,0.6071428571428571,0.7906976744186046,0.6868686868686869,0.8659370725034199
43,Exclusivity,TextPlusLayoutPlusRetrieval,0.6415094339622641,0.7906976744186046,0.7083333333333334,0.8596443228454173
43,Expiration Date,TextOnly,0.8942307692307693,0.93,0.9117647058823529,0.9228571428571428
43,Expiration Date,TextPlusLayout,0.8947368421052632,0.85,0.8717948717948718,0.8803571428571428
43,Expiration Date,TextPlusLayoutPlusRetrieval,0.9247311827956989,0.86,0.8911917098445595,0.8875000000000001
43,Governing Law,TextOnly,0.9279279279279279,0.9537037037037037,0.9406392694063926,0.9263888888888889
43,Governing Law,TextPlusLayout,0.9603960396039604,0.8981481481481481,0.9282296650717703,0.9189814814814814
43,Governing Law,TextPlusLayoutPlusRetrieval,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9375
43,Insurance,TextOnly,0.7317073170731707,0.75,0.7407407407407407,0.9099431818181818
43,Insurance,TextPlusLayout,0.6086956521739131,0.7,0.6511627906976745,0.8588068181818181
43,Insurance,TextPlusLayoutPlusRetrieval,0.6590909090909091,0.725,0.6904761904761905,0.8647727272727272
43,Ip Ownership Assignment,TextOnly,0.4482758620689655,0.5416666666666666,0.49056603773584906,0.7708333333333335
43,Ip Ownership Assignment,TextPlusLayout,0.5,0.7916666666666666,0.6129032258064516,0.8369391025641026
43,Ip Ownership Assignment,TextPlusLayoutPlusRetrieval,0.40476190476190477,0.7083333333333334,0.5151515151515151,0.814102564102564
43,Irrevocable Or Perpetual License,TextOnly,0.5,0.5625,0.5294117647058824,0.9358258928571429
43,Irrevocable Or Perpetual License,TextPlusLayout,0.5,0.75,0.6,0.9352678571428572
43,Irrevocable Or Perpetual License,TextPlusLayoutPlusRetrieval,0.4782608695652174,0.6875,0.5641025641025641,0.9296875
43,Joint Ip Ownership,TextOnly,0.25,0.375,0.3,0.821875
43,Joint Ip Ownership,TextPlusLayout,0.22727272727272727,0.625,0.3333333333333333,0.8541666666666667
43,Joint Ip Ownership,TextPlusLayoutPlusRetrieval,0.13043478260869565,0.375,0.1935483870967742,0.7937500000000001
43,License Grant,TextOnly,0.9242424242424242,0.953125,0.9384615384615385,0.97705078125
43,License Grant,TextPlusLayout,0.8260869565217391,0.890625,0.8571428571428571,0.9296875
43,License Grant,TextPlusLayoutPlusRetrieval,0.8571428571428571,0.9375,0.8955223880597015,0.9521484375
43,Liquidated Damages,TextOnly,0.3333333333333333,0.3076923076923077,0.32,0.785953177257525
43,Liquidated Damages,TextPlusLayout,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.7558528428093646
43,Liquidated Damages,TextPlusLayoutPlusRetrieval,0.21428571428571427,0.46153846153846156,0.2926829268292683,0.7210702341137124
43,Minimum Commitment,TextOnly,0.6363636363636364,0.8,0.7088607594936709,0.869431643625192
43,Minimum Commitment,TextPlusLayout,0.58,0.8285714285714286,0.6823529411764706,0.8798771121351766
43,Minimum Commitment,TextPlusLayoutPlusRetrieval,0.6511627906976745,0.8,0.717948717948718,0.8952380952380952
43,Most Favored Nation,TextOnly,0.5,0.2857142857142857,0.36363636363636365,0.9126328217237308
43,Most Favored Nation,TextPlusLayout,0.3125,0.7142857142857143,0.43478260869565216,0.8795749704840614
43,Most Favored Nation,TextPlusLayoutPlusRetrieval,0.25,0.42857142857142855,0.3157894736842105,0.8748524203069658
43,No-Solicit Of Customers,TextOnly,1.0,0.25,0.4,0.7859195402298851
43,No-Solicit Of Customers,TextPlusLayout,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.6982758620689655
43,No-Solicit Of Customers,TextPlusLayoutPlusRetrieval,0.3076923076923077,0.3333333333333333,0.32,0.8081896551724137
43,No-Solicit Of Employees,TextOnly,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.9557109557109557
43,No-Solicit Of Employees,TextPlusLayout,0.22727272727272727,0.45454545454545453,0.30303030303030304,0.8717948717948718
43,No-Solicit Of Employees,TextPlusLayoutPlusRetrieval,0.375,0.8181818181818182,0.5142857142857142,0.9067599067599068
43,Non-Compete,TextOnly,0.5833333333333334,0.75,0.65625,0.8646428571428572
43,Non-Compete,TextPlusLayout,0.4583333333333333,0.7857142857142857,0.5789473684210527,0.8453571428571428
43,Non-Compete,TextPlusLayoutPlusRetrieval,0.5526315789473685,0.75,0.6363636363636364,0.8628571428571428
44,Affiliate License-Licensee,TextOnly,0.4,0.6666666666666666,0.5,0.8926237161531279
44,Affiliate License-Licensee,TextPlusLayout,0.19230769230769232,0.5555555555555556,0.2857142857142857,0.8300653594771242
44,Affiliate License-Licensee,TextPlusLayoutPlusRetrieval,0.2727272727272727,0.6666666666666666,0.3870967741935484,0.8832866479925303
44,Affiliate License-Licensor,TextOnly,0.4,0.5,0.4444444444444444,0.9475806451612904
44,Affiliate License-Licensor,TextPlusLayout,0.2727272727272727,0.75,0.4,0.9314516129032258
44,Affiliate License-Licensor,TextPlusLayoutPlusRetrieval,0.18181818181818182,0.5,0.26666666666666666,0.8991935483870968
44,Agreement Date,TextOnly,0.6388888888888888,0.5348837209302325,0.5822784810126582,0.7633378932968536
44,Agreement Date,TextPlusLayout,0.5079365079365079,0.7441860465116279,0.6037735849056604,0.7502051983584132
44,Agreement Date,TextPlusLayoutPlusRetrieval,0.5357142857142857,0.6976744186046512,0.6060606060606061,0.7666210670314637
44,Anti-Assignment,TextOnly,0.8383838383838383,0.8829787234042553,0.8601036269430051,0.8782853566958699
44,Anti-Assignment,TextPlusLayout,0.9010989010989011,0.8723404255319149,0.8864864864864865,0.853566958698373
