dataset,model,seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1
CUAD,SBERT_plus_PortableStructure,42,0.7068273092369478,0.7163177794427795,0.7211859631596474,0.7066676448627195,0.7068273092369478
CUAD,TFIDF_SBERT_PortableStructure,42,0.7710843373493976,0.7854333860583861,0.7872771380666117,0.7728944998708028,0.7710843373493976
CUAD,MajorityBaseline,87,0.034482758620689655,0.0017241379310344827,0.05,0.003333333333333333,0.034482758620689655
CUAD,TFIDF_LinearSVM,87,0.7460815047021944,0.7439762241542427,0.7556668576521518,0.7436436025845521,0.7460815047021944
CUAD,TFIDF_plus_PortableStructure,87,0.7554858934169278,0.7472016521919771,0.7636651706137,0.7494467053593254,0.7554858934169278
CUAD,PortableStructureOnly,87,0.3542319749216301,0.33044619500795436,0.3829172502334267,0.33085924458481025,0.3542319749216301
CUAD,SBERT_LinearSVM,87,0.7021943573667712,0.707501792153495,0.71506981580511,0.7052204947153877,0.7021943573667712
CUAD,SBERT_plus_PortableStructure,87,0.6990595611285266,0.6985392402575064,0.7114289427892369,0.6998348463778534,0.6990595611285266
CUAD,TFIDF_SBERT_PortableStructure,87,0.7586206896551724,0.7575459718300277,0.7722191452338512,0.7578715497465497,0.7586206896551724
CUAD,MajorityBaseline,101,0.029801324503311258,0.0014900662251655628,0.05,0.0028938906752411574,0.029801324503311258
CUAD,TFIDF_LinearSVM,101,0.7384105960264901,0.7578063517897278,0.7542516988085873,0.7469318009502396,0.7384105960264901
CUAD,TFIDF_plus_PortableStructure,101,0.7384105960264901,0.7474214483337513,0.7505076607688836,0.7425994936510175,0.7384105960264901
CUAD,PortableStructureOnly,101,0.40397350993377484,0.3576430810260011,0.38953549503472107,0.3432667932928656,0.40397350993377484
CUAD,SBERT_LinearSVM,101,0.6688741721854304,0.6785192170940588,0.6891229797034751,0.6764733077577683,0.6688741721854304
CUAD,SBERT_plus_PortableStructure,101,0.6655629139072847,0.6682775552620753,0.6826649737001904,0.6691199640820559,0.6655629139072847
CUAD,TFIDF_SBERT_PortableStructure,101,0.7317880794701986,0.7399338325073619,0.7473268567947361,0.7361683062601284,0.7317880794701986
LexGLUE_ledgar,MajorityBaseline,13,0.04710144927536232,0.002355072463768116,0.05,0.004498269896193772,0.04710144927536232
LexGLUE_ledgar,TFIDF_LinearSVM,13,0.9094202898550725,0.9099157092907093,0.9098901098901099,0.9072781356574462,0.9094202898550725
LexGLUE_ledgar,TFIDF_plus_PortableStructure,13,0.9057971014492754,0.9105547924297923,0.906043956043956,0.9046005953067423,0.9057971014492754
LexGLUE_ledgar,PortableStructureOnly,13,0.34057971014492755,0.33340103487034956,0.33983516483516485,0.3088028761055978,0.34057971014492755
LexGLUE_ledgar,SBERT_LinearSVM,13,0.8913043478260869,0.8941163003663004,0.8917582417582418,0.8864454338764685,0.8913043478260869
LexGLUE_ledgar,SBERT_plus_PortableStructure,13,0.8876811594202898,0.8931392300509948,0.887912087912088,0.8862519983263322,0.8876811594202898
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,13,0.9057971014492754,0.9075546757164403,0.9063186813186814,0.9016045839382881,0.9057971014492754
LexGLUE_ledgar,MajorityBaseline,21,0.04710144927536232,0.002355072463768116,0.05,0.004498269896193772,0.04710144927536232
LexGLUE_ledgar,TFIDF_LinearSVM,21,0.8985507246376812,0.8942811355311356,0.8969780219780221,0.8906197234908667,0.8985507246376812
LexGLUE_ledgar,TFIDF_plus_PortableStructure,21,0.8804347826086957,0.8780815018315019,0.8788461538461538,0.8750475699268803,0.8804347826086957
LexGLUE_ledgar,PortableStructureOnly,21,0.35507246376811596,0.35210950327049395,0.35274725274725277,0.3356285068523334,0.35507246376811596
LexGLUE_ledgar,SBERT_LinearSVM,21,0.8876811594202898,0.886595695970696,0.885989010989011,0.8800889787096684,0.8876811594202898
LexGLUE_ledgar,SBERT_plus_PortableStructure,21,0.8695652173913043,0.8678148934398934,0.868131868131868,0.8660229553333002,0.8695652173913043
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,21,0.9057971014492754,0.9039868832148243,0.9038461538461539,0.9009230508913489,0.9057971014492754
LexGLUE_ledgar,MajorityBaseline,42,0.04710144927536232,0.002355072463768116,0.05,0.004498269896193772,0.04710144927536232
LexGLUE_ledgar,TFIDF_LinearSVM,42,0.9239130434782609,0.9249267399267401,0.923901098901099,0.9216305839754118,0.9239130434782609
LexGLUE_ledgar,TFIDF_plus_PortableStructure,42,0.9166666666666666,0.9168177655677656,0.9164835164835166,0.9148460696391731,0.9166666666666666
LexGLUE_ledgar,PortableStructureOnly,42,0.36231884057971014,0.3684673059388429,0.3601648351648352,0.3420108504178796,0.36231884057971014
LexGLUE_ledgar,SBERT_LinearSVM,42,0.894927536231884,0.8947929154179153,0.8950549450549451,0.8929718327649361,0.894927536231884
LexGLUE_ledgar,SBERT_plus_PortableStructure,42,0.8876811594202898,0.8871427959295607,0.8868131868131869,0.8848480403541583,0.8876811594202898
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,42,0.9057971014492754,0.9058058608058609,0.9057692307692307,0.9041865605658709,0.9057971014492754
LexGLUE_ledgar,MajorityBaseline,87,0.04710144927536232,0.002355072463768116,0.05,0.004498269896193772,0.04710144927536232
LexGLUE_ledgar,TFIDF_LinearSVM,87,0.927536231884058,0.9287158674658673,0.9274725274725274,0.9257955875542081,0.927536231884058
LexGLUE_ledgar,TFIDF_plus_PortableStructure,87,0.9166666666666666,0.9209139471639473,0.9167582417582418,0.9150394474618613,0.9166666666666666
LexGLUE_ledgar,PortableStructureOnly,87,0.36594202898550726,0.42428518557465933,0.3659340659340659,0.3526852009548235,0.36594202898550726
LexGLUE_ledgar,SBERT_LinearSVM,87,0.8731884057971014,0.8791533344106874,0.8736263736263737,0.8738577467932307,0.8731884057971014
