dataset,model,n_splits,accuracy_mean,accuracy_std,accuracy_ci95,macro_precision_mean,macro_precision_std,macro_precision_ci95,macro_recall_mean,macro_recall_std,macro_recall_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,micro_f1_mean,micro_f1_std,micro_f1_ci95
LexGLUE_ledgar,SBERT_LinearSVM,5,0.886231884057971,0.008341206111029942,0.0073113895204110465,0.8880478222757635,0.006512088185980091,0.005708096968855312,0.8858791208791208,0.008327393930585956,0.00729928261045007,0.8829616705668986,0.007172446756049077,0.006286926776517246,0.886231884057971,0.008341206111029942,0.0073113895204110465
LexGLUE_ledgar,SBERT_plus_PortableStructure,5,0.877536231884058,0.010053939801095356,0.008812666792080454,0.8797365143026908,0.010846207824522334,0.009507120333539043,0.876978021978022,0.010146999499394916,0.008894237214134921,0.8755285439903518,0.010032927260079429,0.008794248487804539,0.877536231884058,0.010053939801095356,0.008812666792080454
LexGLUE_ledgar,PortableStructureOnly,5,0.3572463768115942,0.010119014524470244,0.008869707302073085,0.3690833913290459,0.033958371280308125,0.029765824822474647,0.3562637362637363,0.010387740096202022,0.009105255651181506,0.33559686897236685,0.016291847451956363,0.014280433925599415,0.3572463768115942,0.010119014524470244,0.008869707302073085
LexGLUE_ledgar,MajorityBaseline,5,0.04710144927536232,0.0,0.0,0.002355072463768116,0.0,0.0,0.05,0.0,0.0,0.004498269896193772,0.0,0.0,0.04710144927536232,0.0,0.0
LexGLUE_unfair_tos,SBERT_LinearSVM,5,0.7734375,0.030257682392245445,0.026522027990898433,0.7452141310233065,0.03553144634410241,0.03114468591080535,0.7540404040404042,0.020643937423917704,0.018095208982027697,0.7388549121016188,0.03141437733343407,0.027535915809847766,0.7734375,0.030257682392245445,0.026522027990898433
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,5,0.7609375,0.025073135212314395,0.021977572019561215,0.7360283163688737,0.02924585533526058,0.025635122471188883,0.733910533910534,0.017659457908762215,0.015479197345277126,0.7268779788154036,0.022785988140806453,0.019972799219600133,0.7609375,0.025073135212314395,0.021977572019561215
LexGLUE_unfair_tos,TFIDF_LinearSVM,5,0.7484375,0.028384222069663987,0.024879867614197627,0.7254813056818404,0.03351678477834747,0.02937875718743314,0.7214285714285714,0.03422606571052211,0.030000469336192014,0.7123211230250156,0.034391012077581634,0.03014505120163161,0.7484375,0.028384222069663987,0.024879867614197627
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,5,0.728125,0.020222154852413726,0.01772550025739753,0.7008444987948225,0.023066109430908154,0.02021833635627217,0.7051948051948053,0.025578192748652837,0.022420274469211333,0.6915546849052987,0.02497999398110189,0.02189593013075753,0.728125,0.020222154852413726,0.01772550025739753
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,5,0.7234375,0.03154160818466617,0.0276474385680663,0.7002426687207154,0.03139707741984669,0.02752075176699555,0.7005050505050505,0.0348944632586377,0.03058634561879563,0.6910290190082077,0.035040525911880886,0.030714375179272918,0.7234375,0.03154160818466617,0.0276474385680663
LexGLUE_unfair_tos,PortableStructureOnly,5,0.365625,0.025555355052806445,0.02240025634618943,0.3296210139913318,0.018819953910631123,0.016496416940813004,0.3476190476190476,0.01796993109524281,0.015751339092140465,0.32529629122065556,0.02299507448704258,0.02015607148267374,0.365625,0.025555355052806445,0.02240025634618943
