dataset,model,seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1
LexGLUE_ledgar,SBERT_plus_PortableStructure,44,0.9533333333333334,0.9541800255147724,0.9533333333333331,0.9533515467042606,0.9533333333333334
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,44,0.9655555555555555,0.9661306714082989,0.9655555555555555,0.9656094358096855,0.9655555555555555
LexGLUE_unfair_tos,MajorityBaseline,42,0.23166023166023167,0.02106002106002106,0.09090909090909091,0.03419777714448561,0.23166023166023167
LexGLUE_unfair_tos,TFIDF_LinearSVM,42,0.8146718146718147,0.7694783141290104,0.7465747252308517,0.7483212527763867,0.8146718146718147
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,42,0.7837837837837838,0.6946906374577254,0.6914178487301017,0.6883283145563518,0.7837837837837838
LexGLUE_unfair_tos,PortableStructureOnly,42,0.38996138996138996,0.29183522570619347,0.3232460117835612,0.29120022171315385,0.38996138996138996
LexGLUE_unfair_tos,SBERT_LinearSVM,42,0.7837837837837838,0.7312850823389464,0.7211345527551061,0.71464435339786,0.7837837837837838
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,42,0.7953667953667953,0.7327150828417593,0.7135548026852375,0.7170202431544177,0.7953667953667953
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,42,0.8146718146718147,0.7393929840651151,0.7141399882506602,0.7170028797775496,0.8146718146718147
LexGLUE_unfair_tos,MajorityBaseline,43,0.23166023166023167,0.02106002106002106,0.09090909090909091,0.03419777714448561,0.23166023166023167
LexGLUE_unfair_tos,TFIDF_LinearSVM,43,0.7915057915057915,0.7786969272753854,0.7316815814839529,0.7438556462248969,0.7915057915057915
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,43,0.7799227799227799,0.7531558828769961,0.7143367611747058,0.722824068300519,0.7799227799227799
LexGLUE_unfair_tos,PortableStructureOnly,43,0.3861003861003861,0.2691916549981066,0.3026849522896954,0.2685051778272118,0.3861003861003861
LexGLUE_unfair_tos,SBERT_LinearSVM,43,0.7876447876447876,0.7835815610676559,0.7433028763068289,0.7464638263320187,0.7876447876447876
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,43,0.7799227799227799,0.7605052415779021,0.719631093544137,0.7223659486551128,0.7799227799227799
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,43,0.7992277992277992,0.7980659458115469,0.7452917087304439,0.7594865690922181,0.7992277992277992
LexGLUE_unfair_tos,MajorityBaseline,44,0.23166023166023167,0.02106002106002106,0.09090909090909091,0.03419777714448561,0.23166023166023167
LexGLUE_unfair_tos,TFIDF_LinearSVM,44,0.8223938223938224,0.8011169952686107,0.7928374655647382,0.7815462009811917,0.8223938223938224
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,44,0.803088803088803,0.7666210670133254,0.7698372773471587,0.762669099797694,0.803088803088803
LexGLUE_unfair_tos,PortableStructureOnly,44,0.38996138996138996,0.30299033631252886,0.3517455754609905,0.3170635109406834,0.38996138996138996
LexGLUE_unfair_tos,SBERT_LinearSVM,44,0.7992277992277992,0.7491418344228403,0.7858203719863798,0.7654515975634535,0.7992277992277992
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,44,0.803088803088803,0.7436696258287168,0.7796784901527984,0.7579900120791961,0.803088803088803
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,44,0.8378378378378378,0.8157948510819325,0.801185770750988,0.8010346016212087,0.8378378378378378
