dataset,model,n_splits,accuracy_mean,accuracy_std,accuracy_ci95,macro_precision_mean,macro_precision_std,macro_precision_ci95,macro_recall_mean,macro_recall_std,macro_recall_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,micro_f1_mean,micro_f1_std,micro_f1_ci95,majority_macro_f1_mean,macro_f1_gain_over_majority,relative_error_reduction_proxy
LexGLUE_ledgar,SBERT_LinearSVM,3,0.9518518518518518,0.0023129622216290424,0.0026173631481146067,0.9522222217450014,0.0020638717362096853,0.0023354907288481034,0.9518518518518517,0.002312962221629149,0.0026173631481147272,0.9517138889459212,0.00220519748784087,0.0024954158719135773,0.9518518518518518,0.0023129622216290424,0.0026173631481146067,0.008333333333333333,0.9433805556125879,0.9513081233068114
LexGLUE_ledgar,SBERT_plus_PortableStructure,3,0.9503703703703703,0.0033945005147821257,0.0038412389405086157,0.9509219230161566,0.0032920733587538014,0.0037253317021422655,0.9503703703703702,0.003394500514782065,0.003841238940508547,0.9502863383588634,0.003363702666716284,0.003806387894600917,0.9503703703703703,0.0033945005147821257,0.0038412389405086157,0.008333333333333333,0.9419530050255301,0.9498685764963329
LexGLUE_ledgar,PortableStructureOnly,3,0.4548148148148148,0.011984214583232167,0.013561415450684448,0.4519431863604068,0.019357646582863385,0.02190523923236788,0.45481481481481484,0.011984214583232213,0.0135614154506845,0.43044315439439435,0.01631590704005063,0.01846318691042644,0.4548148148148148,0.011984214583232167,0.013561415450684448,0.008333333333333333,0.422109821061061,0.4256569624145153
LexGLUE_ledgar,MajorityBaseline,3,0.06666666666666667,0.0,0.0,0.0044444444444444444,0.0,0.0,0.06666666666666667,0.0,0.0,0.008333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.008333333333333333,0.0,0.0
LexGLUE_unfair_tos,TFIDF_SBERT_PortableStructure,3,0.8172458172458171,0.019433293269680192,0.021990841516961974,0.784417926986198,0.03998765602416159,0.045250292580831235,0.7535391559106973,0.04410507172102655,0.04990958706029436,0.7591746834969921,0.04201672909057656,0.047546404907787436,0.8172458172458171,0.019433293269680192,0.021990841516961974,0.03419777714448561,0.7249769063525066,0.7506473781029641
LexGLUE_unfair_tos,TFIDF_LinearSVM,3,0.8095238095238094,0.01607464092251843,0.018190168596935476,0.7830974122243354,0.016271900224091147,0.018413388510227283,0.7570312574265143,0.03189067008695191,0.03608769044030489,0.7579076999941584,0.020592946781693384,0.023303113000923897,0.8095238095238094,0.01607464092251843,0.018190168596935476,0.03419777714448561,0.7237099228496728,0.7493355323928893
LexGLUE_unfair_tos,SBERT_LinearSVM,3,0.7902187902187903,0.008037320461259184,0.009095084298467705,0.7546694926098142,0.026582826705029036,0.030081300221780585,0.7500859336827715,0.0328720428773335,0.03719821829592118,0.7421865924311107,0.025672262508549277,0.02905089983323462,0.7902187902187903,0.008037320461259184,0.009095084298467705,0.03419777714448561,0.7079888152866252,0.7330577612395301
LexGLUE_unfair_tos,SBERT_plus_PortableStructure,3,0.7927927927927927,0.011795561634377944,0.013347934542307819,0.7456299834161261,0.013998409982847623,0.015840692112774685,0.737621462127391,0.03654894707646059,0.04135902708905614,0.7324587346295756,0.022271702628720795,0.025202804075686366,0.7927927927927927,0.011795561634377944,0.013347934542307819,0.03419777714448561,0.69826095748509,0.7229854528814342
LexGLUE_unfair_tos,TFIDF_plus_PortableStructure,3,0.788931788931789,0.01241139094078885,0.014044811005336964,0.738155862449349,0.038239340130756146,0.043271886903526416,0.7251972957506553,0.040322017615850664,0.04562865834056922,0.724607160884855,0.037202454918299106,0.042098540828726015,0.788931788931789,0.01241139094078885,0.014044811005336964,0.03419777714448561,0.6904093837403694,0.7148558653127637
LexGLUE_unfair_tos,PortableStructureOnly,3,0.38867438867438864,0.002229151618492759,0.002522522522522518,0.28800573900560966,0.01722168519457171,0.019488171382650542,0.32589217984474905,0.024637123219746915,0.027879529457038567,0.292256303493683,0.02429638677324456,0.0274939498699813,0.38867438867438864,0.002229151618492759,0.002522522522522518,0.03419777714448561,0.25805852634919735,0.267196036872037
LexGLUE_unfair_tos,MajorityBaseline,3,0.23166023166023167,0.0,0.0,0.02106002106002106,0.0,0.0,0.0909090909090909,1.6996749443881478e-17,1.9233632618876244e-17,0.03419777714448561,0.0,0.0,0.23166023166023167,0.0,0.0,0.03419777714448561,0.0,0.0
